Case Number,Species ,Length,
2013.06.17,,,
2013.06.16,,,
2013.06.15,,,
2013.06.14.R,,4' to 5' shark,
2013.06.06.b,Lemon shark, 4',
2013.06.06.a,,6' shark,
2013.05.27.b,Galapagos shark,,
2013.05.27.a,,,
2013.05.23.b,,,
2013.05.23.a,,,
2013.05.14,Galapagos shark,,
2013.05.08.b,,,
2013.05.08.a,Bull shark,,
2013.05.04.a,a small shark,,
2013.04.28,Wobbegong, 2m,
2013.04.24,Tiger shark,,
2013.04.21,Grey nurse shark, 3m,
2013.04.17,,3' shark,
2013.04.14,Blue shark,,
2013.04.13.b,Bull shark,,
2013.04.13.a,,,
2013.04.10,Possibly a blacktip reef shark,,
2013.04.04,,,
2013.04.02.R,,,
2013.04.02.a,,4' shark,
2013.03.31,,,
2013.03.29,,,
2013.03.21.R,Nurse shark,,
2013.03.21,,,
2013.03.16.b,Raggedtooth shark, 1.5 m,
2013.03.16.a,,,
2013.03.12,Tiger shark, 4.8 m,
2013.03.10.b,Bronze whaler shark, 2.5m,
2013.03.10.a,small sharks,,
2013.03.03,,,
2013.02.27,White shark, 4m,
2013.02.21.b,reef shark?,,
2013.02.21.a,reef shark?,,
2013.02.10,Blacktip shark, 4' to 5',
2013.02.09,Lemon shark,,
2013.02.01,,,
2013.01.26,White shark, 5m,
2013.01.25,,,
2013.01.21.R,,,
2013.01.16,Tiger shark, 15',
2013.01.13,Bronze whaler shark, 3m,
2013.01.05,,,
2012.12.31,,,
2012.12.30,2.5 m shark,,
2012.12.28,Bull shark, 2m ,
2012.12.25,Tiger shark,,
2012.12.19,Tiger shark, 6',
2012.12.05,,10' shark,
2012.12.02,Sandtiger shark,,
2012.12.00,Seven-gill shark,,
2012.11.30,Tiger shark, 10',
2012.11.27,,,
2012.11.22,2.5 m shark,,
2012.11.19,,2' to 3' shark,
2012.11.04.b,Tiger shark, 15',
2012.11.04.a,Tiger shark, 8',
2012.10.30,White shark,,
2012.10.27,Tiger shark, 10' to 12' ,
2012.10.23,White shark, 15' to 16' ,
2012.10.19,,,
2012.10.18.b,,,
2012.10.18.a,,6' to 8' shark,
2012.10.16,,,
2012.10.11.R,,,
2012.10.07,,,
2012.10.02,2m shark,,
2012.09.25,,5' shark,
2012.09.16,,,
2012.09.24,,4' shark,
2012.09.10,Possibly a 3 m bull shark,,
2012.09.08.b,,,
2012.09.08.a,,,
2012.09.06.b,,,
2012.09.06.a,,,
2012.09.04,,,
2012.09.02.b,,3.5' to 4' shark,
2012.09.02.b,Tiger shark, 10' to 12' ,
2012.09.02.a,,3.5' to 4' shark,
2012.08.31,Porbeagle shark, 7',
2012.08.28,,,
2012.08.26,,,
2012.08.15,,,
2012.08.11,4.5 m shark,,
2012.08.09,Lemon shark, 4' to 5' ,
2012.08.05,Bull shark,,
2012.08.04,Lemon shark, 2.5m to 3m ,
2012.07.31.b,,,
2012.07.31.a,White shark or bronze whaler,,
2012.07.30.b,,,
2012.07.30.a,Thought to involve a white shark,,
2012.07.24,,,
2012.07.23,,,
2012.07.21,,,
2012.07.19,Salmon shark suspected, but unlikely,
2012.07.14,White shark, 5m,
2012.07.08,,,
2012.07.07.c,,,
2012.07.07.b,,,
2012.07.07.a,,14' to 18'shark,
2012.07.06,,15' shark,
2012.06.28.R,,,
2012.06.26.c,possibly a bull shark,,
2012.06.26.b,,,
2012.06.26.a,a small reef shark,,
2012.06.22.b,,,
2012.06.22.a,,,
2012.06.20,3 m shark,,
2012.06.19,,,
2012.06.18,,,
2012.06.15,Nurse shark,,
2012.06.14.d,small blacktip shark?,,
2012.06.14.c,,,
2012.06.14.b,small blacktip shark?,,
2012.06.14.a,Blacktip shark ,,
2012.06.12,1.5 m shark,,
2012.06.10,Blue shark, 2.5m,
2012.06.03,White shark, 2 m,
2012.06.02.b,,,
2012.06.02.a,,,
2012.05.31,"18"" to 24"" shark",,
2012.05.29,Bull shark, 3m,
2012.05.23,,4' to 5' shark,
2012.05.20,Tiger shark, 8' to 9' ,
2012.05.16,,,
2012.05.12,White shark,,
2012.05.09,,,
2012.05.06,White shark,,
2012.04.19.b,,5' shark,
2012.04.19.a,White shark, 4 m to 5m ,
2012.04.11,White shark, 6m ,
2012.04.03,Tiger shark, 10'  ,
2012.03.31,White shark, 4m ,
2012.03.24,,,
2012.03.22,White shark,,
2012.03.20,Possibly a bull shark,,
2012.03.15,Possibly a bull shark, 5' to 6',
2012.03.14.b,,4' to 5' shark,
2012.03.14.a,,4' to 5' shark,
2012.03.06.a,Tawny nurse shark, 40cm,
2012.03.06.b,,,
2012.03.05,,,
2012.03.04,,4' shark,
2012.03.03,,,
2012.03.01,,,
2012.02.26,Spinner shark,,
2012.02.25,Grey nurse shark,,
2012.02.20,White shark, 7m,
2012.02.06,,,
2012.01.27,,6' to 8' shark,
2012.01.22.R,Tiger shark,,
2012.01.19,Tiger shark, 3m,
2012.01.18.b,Blue shark, 70-kg blue shark,
2012.01.18.a,White shark, 2.7 m,
2012.01.15,Thought to involve a bull shark,,
2012.01.13,White shark,,
2012.01.03,2 m shark,,
2012.01.02,Allegedly a 4 m tiger shark,,
2011.12.31,,,
2011.12.26.R,,,
2011.12.25,,,
2011.12.23,,,
2011.12.21.b,,7' to 8' shark ,
2011.12.21.a,,,
2011.12.11,White shark, 2.5m,
2011.12.07.b,,,
2011.12.07.a,Wobbegong shark,,
2011.12.06,,,
2011.12.05,,,
2011.12.02,,,
2011.11.29,,,
2011.11.28,Wobbegong shark?,,
2011.11.22,White shark, 15' to 16',
2011.11.20.R,,,
2011.11.12,,,
2011.11.11,,,
2011.10.29.,White shark,,
2011.10.28.R,,8' to 10' shark,
2011.10.28.,Raggedtooth shark,,
2011.10.22,White shark, 10',
2011.10.20,White shark, 15',
2011.10.19,Port Jackson shark, 1m,
2011.10.11,,3' shark,
2011.10.10,,10' to 12' shark,
2011.10.09,,,
2011.10.05,,2 to 2.5 m shark,
2011.10.02,,,
2011.10.01,,,
2011.09.30,,,
2011.09.28.b,,,
2011.09.28.a,White shark,,
2011.09.24.b,Bull shark, 6',
2011.09.24.a,,,
2011.09.20,,,
2011.09.19,,,
2011.09.17,,,
2011.09.16,,4' to 6' shark,
2011.09.11.b,,,
2011.09.11.a,Tiger shark, 2m,
2011.09.04.b,,,
2011.09.04.a,White shark,,
2011.09.02, possibly a blactip or spinner shark,6' shark,
2011.08.31,,6' shark,
2011.08.28.b,Shark involvement prior to death not confirmed,,
2011.08.28.a,,,
2011.08.26,,,
2011.08.24.b,,,
2011.08.24.a,,,
2011.08.23,White shark, >6',
2011.08.18,,,
2011.08.17.c.,Possibly a sandtiger shark,5' to 6' ,
2011.08.17.b.,,,
2011.08.17.a,,4 m shark,
2011.08.16.c,Grey reef shark ,,
2011.08.16.b,,,
2011.08.16.a,Bull shark, 6',
2011.08.15,,,
2011.08.11,,,
2011.08.01,,,
2011.07.31,Shark involvement prior to death not confirmed,,
2011.07.30,,,
2011.07.25,,,
2011.07.22,White shark, 3m to 4m,
2011.07.19,,,
2011.07.15,,,
2011.07.13.b,,,
2011.07.13.a,,,
2011.07.07.b,,,
2011.07.07.a,,,
2011.07.06,,,
2011.07.05,,,
2011.06.30,,,
2011.06.29,,,
2011.06.28,Dusky shark, 3m,
2011.06.26,Bull shark, 6',
2011.06.24,White shark, 5' k,
2011.06.21,,,
2011.06.19.b,,5' shark,
2011.06.19.a,,,
2011.06.15,,,
2011.06.12,Blacktip shark, 4',
2011.06.14.R,Oceanic whitetip shark, 7',
2011.06.06.R,,,
2011.06.06.b,Sevengill shark, 6' to 8',
2011.06.06.a,,3' to 4' shark,
2011.06.01,Blacktip reef shark ,,
2011.05.30,,,
2011.05.29,White shark,,
2011.05.25,Tiger shark, 10',
2011.05.22,Tiger shark,,
2011.05.21.b,Zambesi shark,,
2011.05.21.a, Tiger shark, 2.8m,
2011.05.13.b,,,
2011.05.13.a,,,
2011.05.10,Sandbar shark ,8',
2011.05.07.R,,,
2011.05.04,,,
2011.04.26,Bull shark, 12',
2011.04.23,reef shark, 1.5m,
2011.04.22,,1' to 2' shark,
2011.04.16,possibly a bronze whaler shark,,
2011.04.12, Bull shark, 2.5 m,
2011.04.08,,,
2011.03.29.R,Blacktip shark pup,,
2011.03.24,Bull shark,,
2011.03.23,Bull shark, 2.5m,
2011.03.21.b,,,
2011.03.21.a,,,
2011.03.16,3 m to 4 m shark,,
2011.03.10.R,,,
2011.03.10,,,
2011.02.28.R,Bull shark, 2m,
2011.02.23,1.5 m shark,,
2011.02.19,,,
2011.02.17,White shark x 2,,
2011.02.13,1 m shark,,
2011.02.12,,,
2011.02.04.R,,,
2011.02.02,,,
2011.01.31,,6' shark,
2011.01.28,,,
2011.01.26,Caribbean reef shark,,
2011.01.20,,,
2011.01.15,,,
2011.01.12.R,,,
2011.01.03,White shark,,
2010.12.26,,6' shark,
2010.12.17,,,
2010.12.11,,,
2010.12.05,Oceanic whitetip shark, 2.5m ,
2010.12.03.R,,,
2010.12.01.b,Mako shark ,,
2010.12.01.a,Mako shark,,
2010.11.30.b,Oceanic whitetip shark, 2.5m, female
2010.11.30.a,Oceanic whitetip shark, 2.5m, female
2010.11.27.R,,,
2010.11.27,,,
2010.11.19,,,
2010.11.15,,,
2010.11.12.R,White shark,,
2010.10.30,White shark,,
2010.10.28.R,,,
2010.10.28,,,
2010.10.25,,,
2010.10.23.b,Porbeagle shark, 8' ,
2010.10.23.a,,,
2010.10.22,White shark, 14' to 18' ,
2010.10.20,,,
2010.10.09,Bull shark, 1.4m ,
2010.10.02.b,Lemon shark,,
2010.10.02.a,Possibly a lemon shark,6' ,
2010.10.01,,,
2010.09.27,White shark,,
2010.09.24,,,
2010.09.21,White shark,,
2010.09.13,2m shark,,
2010.09.07,,3' shark,
2010.09.06.R,,,
2010.09.04,,,
2010.09.03.b,,,
2010.09.03.a,,,
2010.09.02,,,
2010.08.29,,,
2010.08.18,,,
2010.08.17,White shark,,
2010.08.14,White shark,,
2010.08.10.b,,,
2010.08.10,,,
2010.08.08,,,
2010.08.07.b,,,
2010.08.07.a,,3 m shark,
2010.08.05,,,
2010.08.02.b,White shark, 15',
2010.08.02.a,,3' to 4' shark,
2010.07.25,,4' shark,
2010.07.23,,,
2010.07.19,Possibly a small blacktip shark,,
2010.07.17.b,Sandtiger shark, 4' to 5',
2010.07.17.a,A small spinner shark,,
2010.07.16.b,Angel shark,,
2010.07.16.a,,,
2010.07.11,Nurse shark, juvenile ,
2010.07.04,,,
2010.07.03,Blue shark, 7',
2010.07.02.b,,4' shark,
2010.07.02.a,,8' shark,
2010.06.27,Bull shark, 5',
2010.06.25.b,,,
2010.06.25.a,,,
2010.06.15,,1 m shark,
2010.06.10,,4' shark,
2010.06.06,,,
2010.06.00,,,
2010.05.30,Lemon shark, 4',
2010.05.18.c,,20 to 30kg shark,
2010.05.18.b,,20 to 30kg shark,
2010.05.18.a,,,
2010.05.03,,,
2010.05.01,,4' shark,
2010.04.28,Lemon shark, 6',
2010.04.19,,14' shark,
2010.04.13,,2 m shark,
2010.04.04,Oceanic whitetip shark, 6',
2010.03.27,,1.5 m shark,
2010.02.19,Possibly a blue shark,,
2010.02.16,,3 m shark,
2010.02.15,,,
2010.02.13,,2 m shark,
2010.02.11,Wobbegong shark, 1.6m,
2010.02.06.R,,2 m to 3 m shark,
2010.02.06.b,White shark, 2.5m,
2010.02.06.a,Spinner shark, 6',
2010.02.04,,,
2010.02.03,,,
2010.02.01,,1.5 m shark,
2010.01.30,Thought to involve a juvenile hammerhead shark,,
2010.01.27,,,
2010.01.22.b,,,
2010.01.22.a,,,
2010.01.12,White shark,,
2010.01.09.d,Whitetip reef shark, 1m,
2010.01.09.c,,,
2010.01.09.b,,,
2010.01.09.a,,,
2010.01.06,,,
2010.01.05,,,
2009.12.29,,,
2009.12.26,,,
2009.12.22,Zambesi shark, 2m ,
2009.12.20.b,,,
2009.12.20.a,Bull shark, 3m,
2009.12.18,,,
2009.12.18,,,
2009.12.16,White shark, 2.8 to 3 m ,
2009.12.13,,,
2009.12.12,White shark,,
2009.12.06,Sandtiger shark, 8',
2009.11.25,,,
2009.11.24,,6' shark,
2009.11.16.b,Thresher shark,,
2009.11.16.a,,,
2009.11.13,,,
2009.11.11,,4' shark,
2009.11.08,,2 m shark,
2009.11.05,,,
2009.10.30,White shark, 4m,
2009.10.29.R,Zambesi shark,,
2009.10.28,,,
2009.10.24,,,
2009.10.19,,6' to 8' shark,
2009.10.18,,,
2009.10.17,Angel shark,,
2009.10.14.R,Bull shark, 10',
2009.10.09,,,
2009.10.02,Spurdog,,
2009.09.26,Bull shark, 8',
2009.09.18,,,
2009.09.15,,,
2009.09.13,,,
2009.09.12,Shark involvement prior to death not confirmed,,
2009.09.07,,,
2009.09.02,,,
2009.09.01,,,
2009.08.30,,4' shark,
2009.08.29,White shark,,
2009.08.25,White shark, 5' to 6' juvenile ,
2009.08.11,White shark, 2m,
2009.08.10,,,
2009.08.06,Tiger shark,12,
2009.08.01,Bull shark?,,
2009.07.31,Bull shark,,
2009.07.30,,,
2009.07.29,,,
2009.07.24.b,,,
2009.07.24.a,Shark involvement questionable,,
2009.07.22.b,,,
2009.07.22.a,,,
2009.07.18,,,
2009.07.11.b,Caribbean reef shark, 6',
2009.07.11.a,,5' shark,
2009.07.07,,,
2009.07.05,,,
2009.07.04,Nurse shark, 6',
2009.06.27,Thought to involve a Bronze whale shark, 2m,
2009.06.21,,,
2009.06.16,Shark involvement probable, but not confirmed,
2009.06.14.R,White shark,,
2009.06.02.b,Oceanic whitetip shark,,
2009.06.02.a,Oceanic whitetip shark,,
2009.06.01,Oceanic whitetip shark, 2.5 to 3m,
2009.05.31,80 kg shark,,
2009.05.25,,5' to 8' shark,
2009.05.17,blacktip or spinner shark,,
2009.05.16.b,blacktip or spinner shark,,
2009.05.12,Blacktip shark, 4',
2009.05.16.a,blacktip or spinner shark,,
2009.05.06,,7' shark,
2009.04.28,,,
2009.04.25.R,,,
2009.04.21,,,
2009.04.20,,,
2009.04.19,,,
2009.04.17.,,2' to 3' shark,
2009.04.12,,2' to 3' shark,
2009.04.11,,,
2009.04.06.b,,,
2009.04.06.a,White shark, 12' to 15' female,
2009.04.03,,,
2009.03.27,Raggedtooth shark,,
2009.03.21,,,
2009.03.20,Bronze whaler shark?,,
2009.03.19.b,,,
2009.03.19.a,,,
2009.03.18.a,,3' to 4' shark,
2009.03.17.R,Blacktip reef shark pup,,
2009.03.17,Thought to involve a cookie cutter shark,,
2009.03.16.R,Wobbegong shark, 60cm,
2009.03.06,,,
2009.03.02,Blue shark, 1m,
2009.03.01.b,,,
2009.03.01.a,2.6 m shark,,
2009.02.22,,,
2009.02.18,,,
2009.02.12,White shark, 2.5m ,
2009.02.11,Bull shark, 2.7 m ,
2009.02.08,,,
2009.02.07.b,White shark, 12' ,
2009.02.07.a,,,
2009.01.27.R,,,
2009.01.26.R,,,
2009.01.25,Bull shark,,
2009.01.24.c,,,
2009.01.24.b,,,
2009.01.24.a,Tiger shark,,
2009.01.23,,,
2009.01.18,White shark, 5.5 m ,
2009.01.16,,,
2009.01.13.R,,,
2009.01.12,Dusky shark, 2m,
2009.01.11.b,White shark, 5m,
2009.01.11.a,White shark, 3.5m,
2009.01.10.R,Mako shark, 3m,
2009.01.10.a,,,
2009.01.06,Broadnose sevengill shark,,
2009.01.00,Bull shark,,
2008.12.30,,,
2008.12.27.d,2 m shark,,
2008.12.27.c,,,
2008.12.27.b,White shark, 4m to 5m ,
2008.12.27.a,4 to 5m white shark,,
2008.12.20,White shark,,
2008.12.14,Bronze whaler shark?,,
2008.12.10,Raggedtooth shark, 2m,
2008.12.06,White shark, 4.5 to 5 m ,
2008.12.00,Zambesi shark?,,
2008.11.28,Oceanic whitetip shark,,
2008.11.25,,,
2008.11.24,,,
2008.11.09.b,Bronze whaler shark,,
2008.11.09.a,,,
2008.11.06,,,
2008.10.22,Grey nurse shark, 3m,
2008.10.21,Lemon shark,,
2008.10.12, reef shark, 1.8m,
2008.10.11,,,
2008.10.08,,,
2008.10.06,,5 m white shark,
2008.09.28.b,,,
2008.09.28.a,,+3' shark,
2008.09.15,Bronze whaler shark,,
2008.09.14,,2' to 3' juvenile shark,
2008.09.09,Tiger shark,,
2008.09.08,White shark, 14' to 16' ,
2008.09.07,,3 m shark,
2008.09.06.b,,,
2008.09.06.a,,,
2008.09.01,,4' shark,
2008.09.00,,,
2008.08.30.c,,,
2008.08.30.b,,,
2008.08.30.a,Blue shark,,
2008.08.28,,,
2008.08.27,,6' shark,
2008.08.24,,,
2008.08.22,,,
2008.08.20,,,
2008.08.18,,,
2008.08.16,8' bull shark or Caribbean reef shark,,
2008.08.12,,,
2008.08.11,Tiger shark, 12',
2008.07.30.R,8' white shark or 7-gill shark,,
2008.07.30,White shark,,
2008.07.27,3'  shark,,
2008.07.26.b,2'  shark,,
2008.07.26.a,2' to 3' reef shark,,
2008.07.25.b,,,
